model,task,sample_size,basis,e_alpha,floor,fitted/floor
Full operator (SE(3)),keyed,8,rotated-2,1.242069889061126,0.02886921797847973,43.02402268003984
Pdiag finite (SE(3)),keyed,8,rotated-2,0.2473554893476645,0.02886921797847973,8.568139584939681
Full operator (SE(3)),keyed,8,rotated-1,0.49459722112205434,0.05195521203812443,9.519684391993662
Pdiag finite (SE(3)),keyed,8,rotated-1,0.35357187414447594,0.05195521203812443,6.8053205881447845
Full operator (SE(3)),keyed,15,rotated-2,0.22472665242273326,0.02886921797847973,7.784299962342364
Pdiag finite (SE(3)),keyed,15,rotated-2,0.2514589327179408,0.02886921797847973,8.710278640224628
Full operator (SE(3)),keyed,15,rotated-1,0.18918675889592076,0.05195521203812443,3.6413432160972925
Pdiag finite (SE(3)),keyed,15,rotated-1,0.26556603477739255,0.05195521203812443,5.1114416505994
Full operator (SE(3)),keyed,30,rotated-1,0.15632070278602697,0.05195521203812443,3.0087588261851335
Pdiag finite (SE(3)),keyed,30,rotated-1,0.2694339147144988,0.05195521203812443,5.185888078308482
Full operator (SE(3)),keyed,30,rotated-2,0.1679517513414309,0.02886921797847973,5.817675818812579
Pdiag finite (SE(3)),keyed,30,rotated-2,0.20166205247545246,0.02886921797847973,6.985365957116657
Full operator (SE(3)),circular_honest,8,rotated-1,0.3365706888770264,0.049065936748885326,6.859559017482176
Pdiag finite (SE(3)),circular_honest,8,rotated-1,0.3206722997516833,0.049065936748885326,6.53553811461611
Full operator (SE(3)),circular_honest,8,rotated-2,1.0206526641898974,0.023339571075222856,43.730566465868606
Pdiag finite (SE(3)),circular_honest,8,rotated-2,0.22839489509477687,0.023339571075222856,9.785736608383496
Full operator (SE(3)),circular_honest,15,rotated-1,0.1129577549846901,0.049065936748885326,2.302162405719407
Pdiag finite (SE(3)),circular_honest,15,rotated-1,0.2389973799010766,0.049065936748885326,4.870942974639247
Full operator (SE(3)),circular_honest,15,rotated-2,0.10161089268602636,0.023339571075222856,4.35358869100623
Pdiag finite (SE(3)),circular_honest,15,rotated-2,0.25023286683116325,0.023339571075222856,10.721399550346018
Full operator (SE(3)),circular_honest,30,rotated-2,0.10050365923538003,0.023339571075222856,4.306148511104134
Pdiag finite (SE(3)),circular_honest,30,rotated-2,0.2011731017114721,0.023339571075222856,8.619400119355074
Full operator (SE(3)),circular_honest,30,rotated-1,0.1196578636061622,0.049065936748885326,2.438715563886194
Pdiag finite (SE(3)),circular_honest,30,rotated-1,0.23981668921830845,0.049065936748885326,4.8876411031479305
